# t1 t2 t3
0.0018629000 0.0237152000 0.0000448000
0.0018804000 0.0243001000 0.0000641000
0.0019470000 0.0222235000 0.0000359000
0.0017485000 0.0224472000 0.0000439000
0.0018033000 0.0237184000 0.0000473000
0.0018979000 0.0245872000 0.0000604000
0.0019519000 0.0249216000 0.0000389000
0.0019453000 0.0239713000 0.0000449000
0.0018970000 0.0237547000 0.0000416000
0.0019654000 0.0234296000 0.0000493000
0.0018047000 0.0237137000 0.0000415000
0.0019011000 0.0253275000 0.0000514000
0.0019942000 0.0256848000 0.0000439000
0.0021263000 0.0252161000 0.0000521000
0.0019202000 0.0237612000 0.0000366000
0.0018502000 0.0248236000 0.0000547000
0.0018543000 0.0243718000 0.0000381000
0.0018744000 0.0248858000 0.0000490000
0.0021454000 0.0255622000 0.0000434000
0.0019232000 0.0265427000 0.0000527000
0.0020248000 0.0256171000 0.0000397000
0.0020004000 0.0254984000 0.0000942000
0.0019302000 0.0253883000 0.0000380000
0.0020237000 0.0258810000 0.0000471000
0.0020119000 0.0261229000 0.0000432000
0.0019275000 0.0274047000 0.0000552000
0.0020833000 0.0275669000 0.0000583000
0.0019534000 0.0269337000 0.0000554000
0.0019539000 0.0280796000 0.0000787000
0.0021454000 0.0275201000 0.0000492000
0.0019726000 0.0266149000 0.0000445000
0.0020339000 0.0287147000 0.0000555000
0.0021284000 0.0274670000 0.0000411000
0.0020606000 0.0284222000 0.0000529000
0.0022003000 0.0276403000 0.0000478000
0.0020200000 0.0275072000 0.0000527000
0.0020155000 0.0277112000 0.0000427000
0.0020369000 0.0282057000 0.0000522000
0.0020281000 0.0279280000 0.0000472000
0.0020557000 0.0287459000 0.0000681000
0.0020645000 0.0288060000 0.0000560000
0.0020731000 0.0285353000 0.0000522000
0.0022154000 0.0293068000 0.0000452000
0.0022174000 0.0318494000 0.0000574000
0.0022102000 0.0290746000 0.0000470000
0.0021578000 0.0312517000 0.0000599000
0.0022700000 0.0303371000 0.0000416000
0.0022905000 0.0296929000 0.0000530000
0.0021179000 0.0294298000 0.0000433000
0.0021270000 0.0300482000 0.0000534000
0.0021388000 0.0296885000 0.0000447000
0.0021704000 0.0309221000 0.0000537000
0.0021821000 0.0307944000 0.0000455000
0.0021623000 0.0313524000 0.0000560000
0.0022841000 0.0318125000 0.0000493000
0.0021828000 0.0317753000 0.0000570000
0.0024697000 0.0318582000 0.0000563000
0.0022807000 0.0335384000 0.0000638000
0.0023764000 0.0336404000 0.0000703000
0.0023882000 0.0346809000 0.0000640000
0.0024005000 0.0344202000 0.0000579000
0.0024586000 0.0348256000 0.0000659000
0.0024129000 0.0333624000 0.0000488000
0.0023725000 0.0326353000 0.0000559000
0.0025183000 0.0328827000 0.0000525000
0.0024159000 0.0336717000 0.0000586000
0.0022793000 0.0332882000 0.0000479000
0.0024708000 0.0357588000 0.0000627000
0.0025519000 0.0338204000 0.0000564000
0.0023106000 0.0344949000 0.0000574000
0.0023224000 0.0345225000 0.0000487000
0.0023224000 0.0347018000 0.0000683000
0.0023888000 0.0346836000 0.0000553000
0.0026768000 0.0346493000 0.0000608000
0.0023538000 0.0346235000 0.0000531000
0.0024752000 0.0353028000 0.0001036000
0.0027929000 0.0352992000 0.0000543000
0.0023780000 0.0356703000 0.0000610000
0.0023919000 0.0348991000 0.0000565000
0.0024488000 0.0365316000 0.0000689000
0.0026746000 0.0367371000 0.0000501000
0.0025917000 0.0369228000 0.0000683000
0.0026026000 0.0359576000 0.0000492000
0.0024827000 0.0380227000 0.0000656000
0.0027407000 0.0376880000 0.0000578000
0.0026471000 0.0384478000 0.0000745000
0.0024552000 0.0374318000 0.0000569000
0.0025922000 0.0387440000 0.0000718000
0.0026684000 0.0405925000 0.0000576000
0.0026266000 0.0376539000 0.0000610000
0.0026379000 0.0377260000 0.0000503000
0.0025816000 0.0377121000 0.0000609000
0.0026849000 0.0378686000 0.0000540000
0.0025680000 0.0395626000 0.0000792000
0.0025370000 0.0386805000 0.0000593000
0.0026686000 0.0415978000 0.0001088000
0.0027616000 0.0418512000 0.0000644000
0.0028439000 0.0451417000 0.0000896000
0.0028385000 0.0425042000 0.0000746000
0.0027812000 0.0410706000 0.0000730000
0.0025918000 0.0395420000 0.0000572000
0.0029341000 0.0410853000 0.0000677000
0.0027636000 0.0420963000 0.0000595000
0.0026205000 0.0438748000 0.0000809000
0.0028157000 0.0450300000 0.0000651000
0.0028763000 0.0445763000 0.0000735000
0.0028685000 0.0444489000 0.0000643000
0.0028336000 0.0417293000 0.0000749000
0.0028624000 0.0428766000 0.0000788000
0.0028203000 0.0454006000 0.0000719000
0.0029308000 0.0417067000 0.0000607000
0.0028655000 0.0422760000 0.0000705000
0.0029785000 0.0423144000 0.0000564000
0.0027199000 0.0446408000 0.0000731000
0.0029347000 0.0461740000 0.0000588000
0.0030235000 0.0458654000 0.0000751000
0.0029483000 0.0434866000 0.0000795000
0.0027552000 0.0434755000 0.0000680000
0.0028504000 0.0435204000 0.0000606000
0.0029863000 0.0447907000 0.0000857000
0.0027842000 0.0445353000 0.0000554000
0.0028724000 0.0449263000 0.0000716000
0.0029723000 0.0459024000 0.0000788000
0.0031817000 0.0490207000 0.0000746000
0.0030932000 0.0453364000 0.0000625000
0.0030515000 0.0462572000 0.0000725000
0.0031483000 0.0459093000 0.0000788000
0.0028587000 0.0464575000 0.0000794000
0.0029834000 0.0495363000 0.0000796000
0.0030962000 0.0508466000 0.0000964000
0.0031680000 0.0476980000 0.0000589000
0.0028979000 0.0477029000 0.0000809000
0.0035241000 0.0509002000 0.0000909000
0.0031508000 0.0496658000 0.0000788000
0.0029254000 0.0501172000 0.0000663000
0.0033862000 0.0526013000 0.0000912000
0.0031724000 0.0486194000 0.0000956000
0.0030430000 0.0484907000 0.0000766000
0.0029636000 0.0491545000 0.0000645000
0.0029770000 0.0518858000 0.0000879000
0.0032165000 0.0533523000 0.0000754000
0.0032454000 0.0540457000 0.0000887000
0.0033407000 0.0513781000 0.0000649000
0.0031026000 0.0527434000 0.0000836000
0.0032722000 0.0550975000 0.0000790000
0.0036789000 0.0525565000 0.0000777000
0.0033426000 0.0528768000 0.0000936000
0.0032999000 0.0558143000 0.0000910000
0.0032790000 0.0531229000 0.0000743000
0.0030808000 0.0513852000 0.0000812000
0.0033102000 0.0534966000 0.0000640000
0.0034564000 0.0551194000 0.0000802000
0.0032194000 0.0524882000 0.0001065000
0.0034144000 0.0572369000 0.0000921000
0.0035060000 0.0569136000 0.0000841000
0.0034708000 0.0567413000 0.0000860000
0.0032118000 0.0546025000 0.0000998000
0.0032782000 0.0568720000 0.0000917000
0.0034280000 0.0539166000 0.0000648000
0.0032446000 0.0705671000 0.0002354000
0.0035893000 0.0737307000 0.0001187000
0.0046788000 0.0786127000 0.0002854000
0.0038359000 0.0686899000 0.0001944000
0.0037479000 0.0683936000 0.0003167000
0.0058187000 0.0675308000 0.0001772000
0.0037066000 0.0722162000 0.0001106000
0.0036625000 0.0624669000 0.0001049000
0.0037666000 0.0598296000 0.0001132000
0.0036768000 0.0586158000 0.0000984000
0.0033683000 0.0574086000 0.0000916000
0.0036234000 0.0568655000 0.0000787000
0.0033087000 0.0580811000 0.0001140000
0.0033244000 0.0692074000 0.0002684000
0.0046017000 0.0695150000 0.0002133000
0.0038284000 0.0658946000 0.0001955000
0.0037997000 0.0674150000 0.0002285000
0.0035854000 0.0645921000 0.0004403000
0.0040940000 0.0647390000 0.0001098000
0.0034164000 0.0644171000 0.0001822000
0.0033967000 0.0616900000 0.0001163000
0.0038010000 0.0613799000 0.0000713000
0.0034214000 0.0598136000 0.0000923000
0.0035140000 0.0616906000 0.0000760000
0.0039527000 0.0601826000 0.0000956000
0.0034514000 0.0603961000 0.0000762000
0.0034604000 0.0615511000 0.0000979000
0.0037738000 0.0669568000 0.0002376000
0.0037575000 0.0689851000 0.0001920000
0.0037507000 0.0811428000 0.0002051000
0.0040597000 0.0869781000 0.0002665000
0.0036217000 0.0691268000 0.0001356000
0.0040930000 0.0676929000 0.0001914000
0.0036498000 0.0701016000 0.0001488000
0.0037348000 0.0691505000 0.0001062000
0.0039131000 0.0661174000 0.0001084000
0.0037233000 0.0645046000 0.0000901000
0.0038931000 0.0658133000 0.0001029000
0.0039510000 0.0711371000 0.0001023000
0.0040438000 0.0693240000 0.0000832000
0.0040649000 0.0716284000 0.0001401000
0.0036367000 0.0684735000 0.0001138000
0.0037797000 0.0687796000 0.0001253000
0.0040588000 0.0688160000 0.0000818000
0.0038933000 0.0667339000 0.0001114000
0.0040857000 0.0668220000 0.0000777000
0.0036890000 0.0692846000 0.0001004000
0.0037099000 0.0689646000 0.0001080000
0.0037294000 0.0693060000 0.0001359000
0.0039954000 0.0680111000 0.0000940000
0.0039756000 0.0735260000 0.0001020000
0.0037671000 0.0700923000 0.0001070000
0.0042904000 0.0734797000 0.0001247000
0.0042227000 0.0742907000 0.0002516000
0.0037951000 0.0723277000 0.0001566000
0.0041262000 0.0762191000 0.0001194000
0.0042035000 0.0743265000 0.0001148000
0.0040997000 0.0868639000 0.0001108000
0.0051509000 0.0790846000 0.0001234000
0.0044628000 0.0749993000 0.0001031000
0.0038567000 0.0712082000 0.0001162000
0.0038564000 0.0797610000 0.0000977000
0.0045169000 0.0760745000 0.0001309000
